$.did	9999994
$.kind	9999994
$.time_us	9999994
$.commit.collection	9946168
$.commit.operation	9946168
$.commit.rev	9946168
$.commit.rkey	9946168
$.commit.cid	9681461
$.commit.record.$type	9681461
$.commit.record.createdAt	9672174
$.commit.record.subject.cid	5213822
$.commit.record.subject.uri	5213822
$.commit.record.subject	3442451
$.commit.record.text	895763
$.commit.record.langs[*]	820299
$.commit.record.reply.parent.cid	476291
$.commit.record.reply.parent.uri	476291
$.commit.record.reply.root.cid	476291
$.commit.record.reply.root.uri	476291
$.commit.record.embed.$type	306779
